sub_id,name,lat,lon,state,zone_id,max_kv,min_kv
2597,Lee Vining,40.9484,-73.995,New York,7,161.0,161.0
2601,San Felipe,40.7977,-73.9932,New York,7,161.0,161.0
2619,Hughes,40.9001,-73.962,New York,7,161.0,161.0
2620,Grand Island,40.7989,-74.0018,New York,7,161.0,161.0
2621,June St,40.8535,-73.9809,New York,7,161.0,161.0
2622,North Side,40.8418,-73.978,New York,7,161.0,161.0
2625,Diamond Island Plant,40.8704,-73.946,New York,7,161.0,1.0
2631,Widows Creek,40.8173,-73.9877,New York,7,161.0,161.0
2634,Hvdc B2B Station Hudson,40.8393,-74.0046,New York,7,161.0,161.0
2635,Wells River,40.8821,-73.9661,New York,7,161.0,161.0
2648,Grant,40.8838,-73.9346,New York,7,161.0,161.0
2650,Gastonia Prime Power Park,40.8833,-73.9548,New York,7,161.0,138.0
2722,Reduction,40.8102,-73.9961,New York,7,161.0,161.0
2734,Kingsley Lake,40.7274,-74.0531,New York,7,161.0,161.0
2755,Allen Combined Cycle Plant,40.7046,-74.0442,New York,7,161.0,161.0
2756,Newport,40.7389,-74.0469,New York,7,161.0,161.0
2768,Upper Malad,40.7352,-74.0352,New York,7,161.0,161.0
2769,Chickasaw,40.7485,-74.0423,New York,7,161.0,161.0
2773,Bonita,40.6804,-74.0738,New York,7,161.0,161.0
2774,Stewart,40.6876,-74.0406,New York,7,161.0,161.0
2775,Plank Road,40.7365,-74.131,New York,7,161.0,161.0
2796,Atwater,40.6577,-74.0918,New York,7,161.0,161.0
2797,Progress,40.6653,-74.0675,New York,7,161.0,1.0
2921,Belfort,40.8313,-73.9631,New York,7,161.0,1.0
2928,Leonia,40.8635,-73.993,New York,7,161.0,161.0
2933,Nineteenth Avenue,40.8322,-73.9863,New York,7,161.0,161.0
2936,Mclain,40.9051,-74.004,New York,7,161.0,161.0
2937,Cuba City South,40.8442,-74.0558,New York,7,161.0,161.0
2940,Bergen,40.8309,-74.0175,New York,7,161.0,161.0
2941,Eden,40.8774,-73.9775,New York,7,161.0,161.0
2942,Simplot,40.7773,-74.0705,New York,7,161.0,161.0
2943,Cowan,40.8013,-74.0417,New York,7,161.0,161.0
2948,Dpc Shullsburg,40.8247,-73.9798,New York,7,161.0,161.0
2954,North Bergen,40.8038,-74.0193,New York,7,161.0,161.0
2955,Selkirk,40.7626,-74.0784,New York,7,161.0,161.0
