project_id,study_date,n_facilities,cost_alloc_total,cost_per_kw,n_queue_ahead
Q11-0010,2011-12-15,0,0.0,0.0,9
Q11-0005,2012-02-15,0,0.0,0.0,3
Q11-0006,2012-02-15,3,31480000.0,2171.0344827586205,4
Q11-0017,2012-03-15,1,482000.0,3.0087390761548063,14
Q11-0025,2012-03-15,25,449498000.0,543.9888660292872,21
Q11-0030,2012-03-15,5,34598000.0,82.04410718520275,26
Q11-0007,2012-04-15,14,141022000.0,2213.846153846154,4
Q11-0008,2012-04-15,4,6069000.0,65.11802575107296,5
Q11-0013,2012-04-15,2,7822000.0,29.877769289533994,10
Q11-0011,2012-05-15,1,22178000.0,489.58057395143487,8
Q11-0014,2012-06-15,1,573000.0,3.4811664641555287,11
Q11-0020,2012-06-15,6,144501000.0,157.1859023169803,17
Q11-0022,2012-06-15,17,45474000.0,74.87897250123497,18
Q11-0043,2012-06-15,0,0.0,0.0,38
Q11-0059,2012-06-15,25,308821000.0,3154.453524004086,54
Q11-0024,2012-07-15,7,6339000.0,19.582947173308618,20
Q11-0037,2012-07-15,14,53615000.0,312.0779976717113,32
Q11-0041,2012-07-15,25,93751000.0,62.50066666666667,35
Q11-0009,2012-08-15,4,3735000.0,19.02699949057565,6
Q11-0031,2012-08-15,2,5906000.0,29.918946301925025,27
Q11-0053,2012-08-15,1,2546000.0,6.644050104384133,48
Q11-0001,2012-09-15,21,275594000.0,1348.967205090553,0
Q11-0026,2012-09-15,5,18233000.0,136.8843843843844,22
Q11-0040,2012-09-15,3,10245000.0,103.79939209726444,35
Q11-0077,2012-09-15,8,61755000.0,58.391641452344935,68
Q11-0033,2012-10-15,8,21396000.0,135.1610865445357,29
Q11-0044,2012-10-15,25,94182000.0,191.69957256258905,39
Q11-0045,2012-10-15,25,128843000.0,133.3640409895456,40
Q11-0049,2012-10-15,1,551000.0,14.20103092783505,42
Q11-0051,2012-10-15,0,0.0,0.0,46
Q11-0023,2012-11-15,2,9347000.0,38.576145274453154,18
Q11-0042,2012-11-15,14,10759000.0,51.35560859188544,34
Q11-0063,2012-11-15,25,73805000.0,65.28527200353825,56
Q11-0073,2012-11-15,7,91246000.0,135.64144492344283,64
Q11-0079,2012-11-15,5,58414000.0,1387.5059382422803,69
Q11-0080,2012-11-15,25,20529000.0,193.66981132075472,70
Q11-0084,2012-11-15,25,270526000.0,693.3008713480267,74
Q11-0089,2012-11-15,17,126936000.0,237.39667103048438,79
Q12-0091,2012-11-15,0,0.0,0.0,81
Q11-0016,2012-12-15,0,0.0,0.0,12
Q11-0050,2012-12-15,25,243054000.0,1987.3589533932952,44
Q11-0052,2012-12-15,1,2186000.0,10.234082397003744,46
Q11-0060,2012-12-15,25,126833000.0,170.45155221072437,53
Q11-0061,2012-12-15,10,34978000.0,158.9909090909091,54
Q11-0062,2012-12-15,1,5921000.0,77.39869281045752,55
Q11-0002,2013-01-15,0,0.0,0.0,1
Q11-0028,2013-01-15,0,0.0,0.0,22
Q11-0038,2013-01-15,0,0.0,0.0,32
Q11-0071,2013-01-15,0,0.0,0.0,62
Q11-0078,2013-01-15,0,0.0,0.0,67
Q12-0104,2013-01-15,6,13194000.0,73.5861684327942,92
Q11-0012,2013-02-15,0,0.0,0.0,8
Q11-0015,2013-02-15,0,0.0,0.0,10
Q11-0027,2013-02-15,0,0.0,0.0,22
Q11-0048,2013-02-15,3,24371000.0,47.47905708162868,41
Q11-0056,2013-02-15,0,0.0,0.0,49
Q11-0069,2013-02-15,14,29939000.0,602.3943661971831,59
Q11-0019,2013-03-15,25,125634000.0,1061.097972972973,15
Q11-0029,2013-03-15,4,16467000.0,109.12524850894633,22
Q11-0032,2013-03-15,1,103000.0,0.5619203491543917,27
Q11-0035,2013-03-15,0,0.0,0.0,30
Q11-0076,2013-03-15,8,25465000.0,43.0734100135318,65
Q11-0081,2013-03-15,0,0.0,0.0,70
Q11-0090,2013-03-15,5,22634000.0,109.44874274661508,78
Q12-0099,2013-03-15,7,17225000.0,150.04355400696863,88
Q12-0102,2013-03-15,0,0.0,0.0,90
Q12-0114,2013-03-15,6,67522000.0,45.01466666666666,98
Q12-0122,2013-03-15,2,6653000.0,24.06148282097649,106
Q11-0018,2013-04-15,17,113347000.0,109.50342962032656,13
Q11-0039,2013-04-15,8,38358000.0,107.38521836506159,32
Q11-0068,2013-04-15,8,39390000.0,528.7248322147651,56
Q11-0074,2013-04-15,14,65541000.0,360.3133589884552,60
Q12-0092,2013-04-15,16,237391000.0,173.8618719789073,78
Q12-0108,2013-04-15,2,72000.0,0.627177700348432,91
Q12-0118,2013-04-15,0,0.0,0.0,100
Q12-0119,2013-04-15,11,25782000.0,78.6996336996337,101
Q12-0123,2013-04-15,1,73000.0,0.6293103448275862,104
Q12-0129,2013-04-15,16,56935000.0,632.6111111111111,109
Q11-0034,2013-05-15,0,0.0,0.0,27
Q11-0046,2013-05-15,25,26012000.0,50.53817757917233,37
Q11-0064,2013-05-15,12,34185000.0,118.41011430550745,52
Q11-0066,2013-05-15,5,27319000.0,422.8947368421053,54
Q12-0113,2013-05-15,5,16348000.0,94.17050691244239,93
