year,model,n_projects,hit@5,hit@10,recall@10,mrr
2022,MAIN_all_features,78,0.48717948717948717,0.5512820512820513,0.33809894737988383,0.3690461439453737
2022,B4_geo_size_logit,78,0.5,0.5512820512820513,0.2821390542753419,0.3802301207946427
2022,P0_public_topology_dfax,78,0.4230769230769231,0.46153846153846156,0.25821187127625256,0.3862432105561521
2023,MAIN_all_features,37,0.6756756756756757,0.7297297297297297,0.34678056843960736,0.5639226286586201
2023,B4_geo_size_logit,37,0.6486486486486487,0.7027027027027027,0.3369658167026588,0.483610400251836
2023,P0_public_topology_dfax,37,0.6756756756756757,0.7027027027027027,0.33800662905926065,0.486832766253138
2024,MAIN_all_features,39,0.41025641025641024,0.48717948717948717,0.24151232698143452,0.31564735243090064
2024,B4_geo_size_logit,39,0.38461538461538464,0.48717948717948717,0.20554083597561856,0.3549840549514666
2024,P0_public_topology_dfax,39,0.358974358974359,0.41025641025641024,0.13312991991481696,0.31872483908997734
2025,MAIN_all_features,1,0.0,1.0,0.3333333333333333,0.16666666666666666
2025,B4_geo_size_logit,1,0.0,1.0,0.6666666666666666,0.16666666666666666
2025,P0_public_topology_dfax,1,0.0,0.0,0.0,0.08333333333333333
