sub_id,name,lat,lon,state,zone_id,max_kv,min_kv
7,Hustisford,43.344639,-88.595631,,0,138.0,138
9,Scottsboro,34.67668,-86.017152,,0,161.0,161
40,HIFLD 40,35.935802,-89.876289,,0,161.0,161
41,HIFLD 41,35.86867,-90.017216,,0,161.0,161
43,HIFLD 43,35.908016,-89.910963,,0,161.0,161
72,HIFLD 72,35.653287,-90.499765,,0,161.0,161
74,HIFLD 74,35.513692,-90.416437,,0,161.0,161
96,Dresden Generating Station,41.631005,-88.122418,,0,138.0,138
153,West Memphis Substation,34.967286,-90.451738,,0,161.0,161
208,HIFLD 208,42.331445,-88.12021,,0,138.0,138
265,Will County,41.633749,-88.064569,,0,138.0,138
287,HIFLD 287,36.496917,-90.2884,,0,161.0,161
288,Rector,36.257486,-90.296903,,0,161.0,161
303,HIFLD 303,41.859969,-88.043302,,0,138.0,138
311,HIFLD 311,35.75724,-90.465703,,0,69.0,69
319,HIFLD 319,35.205964,-90.228692,,0,161.0,161
321,HIFLD 321,35.175233,-90.221422,,0,161.0,161
323,Lehi,35.148041,-90.220626,,0,161.0,161
324,HIFLD 324,35.3754,-90.497719,,0,161.0,161
325,HIFLD 325,35.309226,-90.453494,,0,69.0,69
457,HIFLD 457,35.599279,-90.08248,,0,161.0,161
459,HIFLD 459,35.88898,-90.262614,,0,161.0,161
460,HIFLD 460,35.939934,-89.718752,,0,161.0,161
462,HIFLD 462,35.914393,-89.785327,,0,161.0,161
463,Dell,35.899477,-89.783005,,0,161.0,161
766,HIFLD 766,39.563505,-79.793263,,0,138.0,138
768,HIFLD 768,39.679704,-79.524732,,0,138.0,138
770,HIFLD 770,39.345554,-80.031425,,0,138.0,138
771,Firstenergy Rivesville,39.531656,-80.111146,,0,138.0,138
772,HIFLD 772,39.654592,-79.89483,,0,138.0,138
773,HIFLD 773,39.333332,-80.218218,,0,138.0,138
774,HIFLD 774,39.289515,-80.277136,,0,138.0,138
775,HIFLD 775,39.285733,-80.186775,,0,138.0,138
776,HIFLD 776,39.331478,-80.266051,,0,138.0,138
777,Glen Falls,39.305397,-80.33878,,0,138.0,138
778,HIFLD 778,39.356857,-81.303481,,0,138.0,138
779,HIFLD 779,39.482101,-81.088905,,0,138.0,138
782,HIFLD 782,39.75517,-80.85545,,0,138.0,138
783,HIFLD 783,39.614399,-80.278604,,0,138.0,138
784,HIFLD 784,39.718247,-80.195477,,0,138.0,138
785,HIFLD 785,39.597561,-80.340489,,0,138.0,138
786,Glen Falls,39.423993,-80.40864,,0,138.0,138
788,HIFLD 788,39.548746,-80.393632,,0,138.0,138
790,Grant Town Power Plant,39.563813,-80.163473,,0,138.0,138
791,HIFLD 791,39.504194,-80.149206,,0,138.0,138
792,HIFLD 792,39.446346,-80.245907,,0,138.0,138
793,HIFLD 793,39.534697,-80.648522,,0,138.0,138
794,Kammer (138Kv),39.842399,-80.818537,,0,345.0,69
795,Sunnyside,40.255085,-80.646742,,0,138.0,138
798,HIFLD 798,40.270438,-80.593503,,0,138.0,138
799,Carrollton,40.206499,-80.660585,,0,138.0,69
800,Brues,40.03831,-80.72265,,0,138.0,69
801,County Line (Wp),40.027877,-80.652819,,0,138.0,138
802,George Washington,39.90676,-80.795687,,0,138.0,69
805,Lamberton,39.268825,-81.05471,,0,138.0,138
806,HIFLD 806,39.307739,-80.779451,,0,138.0,138
808,HIFLD 808,39.232633,-81.522063,,0,138.0,138
809,Glenville,38.94463,-80.848539,,0,138.0,138
810,Buckhannon,39.000138,-80.233045,,0,138.0,138
