sub_id,lat,lon,zone_id,max_kv,min_kv,external,load_mw,state,name,name_source
2561,41.0308,-73.5955,6,500.0,500.0,True,0.0,,Cos Cob,hifld_nearest
2597,40.9484,-73.995,7,161.0,161.0,False,22.84,New York,Ss3145,hifld_pool
2601,40.7977,-73.9932,7,161.0,161.0,False,22.84,New York,Gary Works,hifld_pool
2604,40.9264,-73.8956,7,161.0,161.0,True,142.35,New York,Dunwoodie,hifld_nearest
2619,40.9001,-73.962,7,161.0,161.0,False,32.56,New York,El Reno,hifld_pool
2620,40.7989,-74.0018,7,161.0,161.0,False,25.17,New York,North Lakes,hifld_pool
2621,40.8535,-73.9809,7,161.0,161.0,False,52.2,New York,Suncrest,hifld_pool
2622,40.8418,-73.978,7,161.0,161.0,False,35.81,New York,Cahone,hifld_pool
2625,40.8704,-73.946,7,161.0,1.0,False,21.93,New York,Piute,hifld_pool
2631,40.8173,-73.9877,7,161.0,161.0,False,60.21,New York,Aecc Hydro Station 2,hifld_pool
2634,40.8393,-74.0046,7,161.0,161.0,False,23.69,New York,Hvdc B2B Station Hudson,hifld_nearest
2635,40.8821,-73.9661,7,161.0,161.0,False,49.35,New York,Plaza Walmart,hifld_pool
2648,40.8838,-73.9346,7,161.0,161.0,False,49.1,New York,West Boylston,hifld_pool
2650,40.8833,-73.9548,7,161.0,138.0,False,46.16,New York,Kirby,hifld_pool
2653,40.7579,-74.0083,7,161.0,161.0,True,0.0,New York,West 49Th Street,hifld_nearest
2654,40.8321,-73.9489,7,161.0,161.0,True,174.05,New York,Keentown,hifld_pool
2722,40.8102,-73.9961,7,161.0,161.0,False,22.09,New York,Molino,hifld_pool
2729,40.6905,-73.9962,7,161.0,161.0,True,0.0,New York,Plymouth,hifld_nearest
2734,40.7274,-74.0531,7,161.0,161.0,False,14.0,New York,Walteria,hifld_pool
2755,40.7046,-74.0442,7,161.0,161.0,False,39.05,New York,Ottawa Avenue,hifld_pool
2756,40.7389,-74.0469,7,161.0,161.0,False,38.46,New York,Newport,hifld_nearest
2768,40.7352,-74.0352,7,161.0,161.0,False,50.84,New York,Roark,hifld_pool
2769,40.7485,-74.0423,7,161.0,161.0,False,21.06,New York,Mink Street,hifld_pool
2773,40.6804,-74.0738,7,161.0,161.0,False,43.13,New York,Arkwright,hifld_pool
2774,40.6876,-74.0406,7,161.0,161.0,False,111.74,New York,He Ramsey,hifld_pool
2775,40.7365,-74.131,7,161.0,161.0,False,27.89,New York,Plank Road,hifld_nearest
2796,40.6577,-74.0918,7,161.0,161.0,False,23.13,New York,Cougar Solar Llc,hifld_pool
2797,40.6653,-74.0675,7,161.0,1.0,False,48.77,New York,Blakeslee Junction,hifld_pool
2921,40.8313,-73.9631,7,161.0,1.0,False,17.6,New York,S. Macon,hifld_pool
2927,40.847,-73.9423,7,161.0,161.0,True,67.93,New York,Academy,hifld_nearest
2928,40.8635,-73.993,7,161.0,161.0,False,19.26,New York,Leonia,hifld_nearest
2931,40.8225,-73.9606,7,161.0,161.0,True,182.47,New York,Gpi,hifld_pool
2933,40.8322,-73.9863,7,161.0,161.0,False,40.12,New York,Killingsworth,hifld_pool
2936,40.9051,-74.004,7,161.0,161.0,False,14.28,New York,Westfield Village,hifld_pool
2937,40.8442,-74.0558,7,161.0,161.0,False,26.49,New York,Auburndale Peaker Energy Center,hifld_pool
2940,40.8309,-74.0175,7,161.0,161.0,False,26.49,New York,Bergen,hifld_nearest
2941,40.8774,-73.9775,7,161.0,161.0,False,26.49,New York,Flowood,hifld_pool
2942,40.7773,-74.0705,7,161.0,161.0,False,50.87,New York,Jacobs Corner,hifld_pool
2943,40.8013,-74.0417,7,161.0,161.0,False,31.36,New York,Lasel Tap,hifld_pool
2944,40.7948,-73.9544,7,161.0,161.0,True,0.0,New York,Firebantz,hifld_pool
2948,40.8247,-73.9798,7,161.0,161.0,False,28.6,New York,Junction,hifld_pool
2954,40.8038,-74.0193,7,161.0,161.0,False,15.17,New York,North Bergen,hifld_nearest
2955,40.7626,-74.0784,7,161.0,161.0,False,20.5,New York,Rose,hifld_pool
2956,40.8099,-73.9708,7,161.0,161.0,True,0.0,New York,Johns Creek,hifld_pool
2957,40.7243,-74.0667,7,161.0,161.0,False,35.28,New York,Gila,hifld_pool
2958,40.8729,-74.038,7,161.0,161.0,False,20.5,New York,Warren Solar Farm Llc,hifld_pool
2961,40.7489,-74.052,7,161.0,161.0,False,31.7,New York,Sandia,hifld_pool
2964,40.8104,-74.0823,7,161.0,161.0,False,18.21,New York,International Paper Riverdale Mill,hifld_pool
2965,40.7468,-74.0736,7,161.0,161.0,False,18.86,New York,Penhorn,hifld_nearest
2966,40.7085,-74.0108,7,161.0,161.0,True,0.0,New York,Leonard Street,hifld_nearest
2967,40.7627,-74.0613,7,161.0,161.0,False,20.04,New York,Ocoee 2,hifld_pool
2968,40.7119,-74.0318,7,161.0,161.0,False,13.37,New York,Seminole,hifld_pool
2969,40.7387,-73.9947,7,161.0,161.0,True,0.0,New York,West 19Th Street,hifld_nearest
2970,40.7697,-74.0374,7,161.0,161.0,False,13.38,New York,Homestead,hifld_nearest
2971,40.8293,-74.0479,7,161.0,161.0,False,13.42,New York,Dallas,hifld_pool
2972,40.6418,-74.0926,7,161.0,161.0,True,0.0,New York,New Brighton,hifld_nearest
2980,40.7825,-74.0177,7,161.0,161.0,False,41.3,New York,Verde,hifld_pool
2984,40.727,-74.0163,7,161.0,161.0,True,0.0,New York,Snohomish,hifld_pool
2991,41.0879,-74.3241,7,161.0,161.0,False,2.67,New York,Eastport,hifld_pool
2996,41.4368,-74.4676,7,161.0,161.0,True,0.0,New York,Pella,hifld_pool
2999,41.327,-74.4958,7,161.0,161.0,True,6.85,New York,Arbuckle,hifld_pool
3002,41.2473,-74.1525,7,161.0,161.0,True,0.0,New York,Juana Diaztc,hifld_pool
3003,41.3508,-74.2122,7,161.0,161.0,True,5.07,New York,Fitzsimmons,hifld_pool
3020,41.4062,-74.5801,7,161.0,161.0,True,0.0,New York,Bent Tree Wind Farm Phase 1,hifld_pool
