sub_id,name,lat,lon,state,zone_id,max_kv,min_kv
2597,Ss3145,40.9484,-73.995,New York,7,161.0,161.0
2601,Gary Works,40.7977,-73.9932,New York,7,161.0,161.0
2619,El Reno,40.9001,-73.962,New York,7,161.0,161.0
2620,North Lakes,40.7989,-74.0018,New York,7,161.0,161.0
2621,Suncrest,40.8535,-73.9809,New York,7,161.0,161.0
2622,Cahone,40.8418,-73.978,New York,7,161.0,161.0
2625,Piute,40.8704,-73.946,New York,7,161.0,1.0
2631,Aecc Hydro Station 2,40.8173,-73.9877,New York,7,161.0,161.0
2634,Hvdc B2B Station Hudson,40.8393,-74.0046,New York,7,161.0,161.0
2635,Plaza Walmart,40.8821,-73.9661,New York,7,161.0,161.0
2648,West Boylston,40.8838,-73.9346,New York,7,161.0,161.0
2650,Kirby,40.8833,-73.9548,New York,7,161.0,138.0
2722,Molino,40.8102,-73.9961,New York,7,161.0,161.0
2734,Walteria,40.7274,-74.0531,New York,7,161.0,161.0
2755,Ottawa Avenue,40.7046,-74.0442,New York,7,161.0,161.0
2756,Newport,40.7389,-74.0469,New York,7,161.0,161.0
2768,Roark,40.7352,-74.0352,New York,7,161.0,161.0
2769,Mink Street,40.7485,-74.0423,New York,7,161.0,161.0
2773,Arkwright,40.6804,-74.0738,New York,7,161.0,161.0
2774,He Ramsey,40.6876,-74.0406,New York,7,161.0,161.0
2775,Plank Road,40.7365,-74.131,New York,7,161.0,161.0
2796,Cougar Solar Llc,40.6577,-74.0918,New York,7,161.0,161.0
2797,Blakeslee Junction,40.6653,-74.0675,New York,7,161.0,1.0
2921,S. Macon,40.8313,-73.9631,New York,7,161.0,1.0
2928,Leonia,40.8635,-73.993,New York,7,161.0,161.0
2933,Killingsworth,40.8322,-73.9863,New York,7,161.0,161.0
2936,Westfield Village,40.9051,-74.004,New York,7,161.0,161.0
2937,Auburndale Peaker Energy Center,40.8442,-74.0558,New York,7,161.0,161.0
2940,Bergen,40.8309,-74.0175,New York,7,161.0,161.0
2941,Flowood,40.8774,-73.9775,New York,7,161.0,161.0
2942,Jacobs Corner,40.7773,-74.0705,New York,7,161.0,161.0
2943,Lasel Tap,40.8013,-74.0417,New York,7,161.0,161.0
2948,Junction,40.8247,-73.9798,New York,7,161.0,161.0
2954,North Bergen,40.8038,-74.0193,New York,7,161.0,161.0
2955,Rose,40.7626,-74.0784,New York,7,161.0,161.0
2957,Gila,40.7243,-74.0667,New York,7,161.0,161.0
2958,Warren Solar Farm Llc,40.8729,-74.038,New York,7,161.0,161.0
2961,Sandia,40.7489,-74.052,New York,7,161.0,161.0
2964,International Paper Riverdale Mill,40.8104,-74.0823,New York,7,161.0,161.0
2965,Penhorn,40.7468,-74.0736,New York,7,161.0,161.0
2967,Ocoee 2,40.7627,-74.0613,New York,7,161.0,161.0
2968,Seminole,40.7119,-74.0318,New York,7,161.0,161.0
2970,Homestead,40.7697,-74.0374,New York,7,161.0,161.0
2971,Dallas,40.8293,-74.0479,New York,7,161.0,161.0
2980,Verde,40.7825,-74.0177,New York,7,161.0,161.0
2991,Eastport,41.0879,-74.3241,New York,7,161.0,161.0
3036,Trabuco,41.2621,-74.5517,New York,7,161.0,161.0
3053,Lafayette,40.7545,-74.031,New York,7,161.0,161.0
3146,Georgia Mountain,40.713,-74.144,New York,7,161.0,161.0
3147,Kern Water,40.6689,-74.1466,New York,7,161.0,161.0
3150,Jordan River,40.6171,-74.2354,New York,7,161.0,161.0
3151,Greenville,40.6715,-74.0862,New York,7,161.0,161.0
3154,Grace,40.7024,-74.0859,New York,7,161.0,161.0
3160,Plaza Del Norte 8013,40.6627,-74.126,New York,7,161.0,161.0
3171,Mccabe,40.5653,-74.2139,New York,7,161.0,161.0
3175,Stanley,40.5299,-74.2501,New York,7,161.0,161.0
3184,Manvel,41.079,-74.0895,New York,7,161.0,161.0
3186,Swan,41.076,-74.1251,New York,7,161.0,161.0
3197,Santan,41.0622,-74.1445,New York,7,161.0,161.0
3350,Hudson,41.4668,-74.9328,New York,7,161.0,138.0
3352,W Hamlin,41.7142,-75.0609,New York,7,161.0,1.0
3353,Merrimac,41.4199,-74.8064,New York,7,161.0,138.0
3442,Closter,40.9822,-73.9803,New York,7,161.0,161.0
3448,Grand Haven Diesel Plant,40.988,-74.0172,New York,7,500.0,1.0
3481,Hillburn,41.0979,-74.1517,New York,7,161.0,13.8
3508,Minue Street,40.5803,-74.2199,New York,7,161.0,161.0
3541,Pseg Linden Generating Station,40.6094,-74.2187,New York,7,500.0,13.8
3646,Fulton Mo,41.9976,-78.2729,New York,8,161.0,138.0
3650,North Gila,41.993,-77.6958,New York,8,161.0,161.0
3667,Garrison,41.9753,-75.9115,New York,8,161.0,161.0
3669,Putnam,41.9939,-75.7664,New York,8,161.0,138.0
3697,Teichert,41.9971,-75.6159,New York,8,161.0,161.0
3828,Colburn Street,41.9933,-76.7907,New York,8,161.0,1.0
3836,Lawrence County Station,41.9907,-76.8571,New York,8,161.0,138.0
3849,Pensacola Florida Plant,41.9982,-76.5114,New York,8,161.0,161.0
3850,Ruthbelle,42.0468,-76.5298,New York,8,161.0,161.0
3938,Jones Canyon,41.9557,-75.3741,New York,8,161.0,161.0
4818,South Windsor,41.9718,-77.1881,New York,8,161.0,138.0
5117,Lewis,39.421,-74.5501,New Jersey,9,138.0,138.0
5118,Big Eddy,39.543,-74.4334,New Jersey,9,138.0,138.0
5119,Lake Riverside,39.4789,-74.4112,New Jersey,9,138.0,138.0
5120,Oneida,39.4485,-74.5136,New Jersey,9,345.0,1.0
5121,Geysers Tap 9,39.4763,-74.44,New Jersey,9,138.0,138.0
5122,Mayaguez,39.4935,-74.5264,New Jersey,9,138.0,138.0
5123,Falls City,39.3588,-74.42,New Jersey,9,138.0,138.0
5124,Byllesby 2,39.4116,-74.4924,New Jersey,9,138.0,138.0
