year,zone_id,peak_mw
2011,6,0.0
2011,7,1712.4225000000001
2011,8,43.143
2011,9,19630.3605
2011,10,19922.5312
2011,11,9612.545142067389
2011,12,2555.9962
2011,13,17152.93775
2011,14,6793.73215
2011,15,17174.80475
2011,16,1763.59325
2011,17,0.0
2011,26,1108.1711346773275
2011,27,7861.178194723016
2011,28,5235.960866019418
2011,29,15707.128356950314
2011,30,14059.359767355796
2011,32,1799.6288308966305
2011,33,4820.81319391205
2011,34,21494.606102224323
2011,35,538.7569113175915
2011,36,32.372186181818186
2011,39,9.476922469893744
2012,6,0.0
2012,7,1717.6380000000001
2012,8,43.2744
2012,9,19690.1484
2012,10,19983.20896
2012,11,9415.311173571094
2012,12,2563.7809600000005
2012,13,17205.1802
2012,14,6814.423720000001
2012,15,17227.113800000003
2012,16,1768.9646
2012,17,0.0
2012,26,1085.4332450305021
2012,27,7699.879459633974
2012,28,5128.527368934772
2012,29,15384.843341511027
2012,30,13770.884313618018
2012,32,1762.7033412482401
2012,33,4721.89785946504
2012,34,21607.32636602466
2012,35,541.5822164606193
2012,36,32.54194976570775
2012,39,9.526620575350591
2013,6,0.0
2013,7,1722.8535000000002
2013,8,43.405800000000006
2013,9,19749.9363
2013,10,20043.886720000002
2013,11,9479.75961935231
2013,12,2571.56572
2013,13,17257.42265
2013,14,6835.11529
2013,15,17279.42285
2013,16,1774.33595
2013,17,0.0
2013,26,1092.8631094664056
2013,27,7752.5856585824595
2013,28,5163.6324878183705
2013,29,15490.15364126311
2013,30,13865.146953979487
2013,32,1774.7691655871845
2013,33,4754.219571681457
2013,34,24061.14476618079
2013,35,603.0865592671427
2013,36,36.237549756163276
2013,39,10.608503472989359
2014,6,0.0
2014,7,1728.0690000000002
2014,8,43.5372
2014,9,19809.724199999997
2014,10,20104.56448
2014,11,8219.10667632474
2014,12,2579.35048
2014,13,17309.6651
2014,14,6855.80686
2014,15,17331.7319
2014,16,1779.7073000000003
2014,17,0.0
2014,26,947.5301948572039
2014,27,6721.618596230613
2014,28,4476.95384259279
2014,29,13430.216621769174
2014,30,12021.309239217027
2014,32,1538.7539013156488
2014,33,4121.98614641566
2014,34,15444.370299201866
2014,35,387.1092682541453
2014,36,23.260162498859085
2014,39,6.80938739820496
2015,6,0.0
2015,7,1733.2845000000002
2015,8,43.6686
2015,9,19869.5121
2015,10,20165.24224
2015,11,8542.931382259747
2015,12,2587.13524
2015,13,17361.90755
2015,14,6876.49843
2015,15,17384.04095
2015,16,1785.07865
2015,17,0.0
2015,26,1020.6469510683761
2015,27,6986.443747071086
2015,28,5107.836413487597
2015,29,13959.353925792162
2015,30,12494.936980362727
2015,32,1599.3792891129872
2015,33,4284.388339780071
2015,34,20875.164918706476
2015,35,523.2307734024403
2015,36,31.43927002479913
2015,39,9.203812274575935
2016,6,0.0
2016,7,1738.5
2016,8,43.800000000000004
2016,9,19929.3
2016,10,20225.920000000002
2016,11,10108.364078241006
2016,12,2594.92
2016,13,17414.15
2016,14,6897.1900000000005
2016,15,17436.35
2016,16,1790.45
2016,17,0.0
2016,26,1160.8318372358654
2016,27,7980.891568246716
2016,28,5770.191310679612
2016,29,15946.3232050257
2016,30,14273.461692747002
2016,32,1827.0343460879496
2016,33,4894.2265928041115
2016,34,21821.93512916175
2016,35,546.9613312868948
2016,36,32.86516363636363
2016,39,9.621241086186542
2017,6,0.0
2017,7,1743.7154999999998
2017,8,43.93139999999999
2017,9,19989.0879
2017,10,20286.597759999997
2017,11,10212.767541009054
2017,12,2602.704759999999
2017,13,17466.39245
2017,14,6917.88157
2017,15,17634.009049999997
2017,16,1795.82135
2017,17,0.0
2017,26,1172.867869534282
2017,27,8066.273141267788
2017,28,5827.059958602846
2017,29,16116.920956856402
2017,30,14426.162753945664
2017,32,1846.5804162354461
2017,33,4973.19125232859
2017,34,21798.7547539659
2017,35,546.3803209960197
2017,36,32.83025257923443
2017,39,9.611020911994496
2018,6,0.0
2018,7,1748.931
2018,8,44.0628
2018,9,20048.8758
2018,10,20347.27552
2018,11,9484.179725840291
2018,12,2610.48952
2018,13,17518.6349
2018,14,6938.57314
2018,15,17686.3181
2018,16,1878.9677
2018,17,0.0
2018,26,1071.3428295975166
2018,27,7346.071716420467
2018,28,5347.367680582316
2018,29,14677.913222554058
2018,30,13138.11525189467
2018,32,1681.7075160029972
2018,33,4531.532706347677
2018,34,20220.893484914515
2018,35,506.8316239992505
2018,36,30.453897389104878
2018,39,8.915345501897045
2019,6,0.0
2019,7,1754.1464999999998
2019,8,44.1942
2019,9,20108.663699999997
2019,10,20407.953279999994
2019,11,10196.194439945173
2019,12,2618.2742799999996
2019,13,17570.87735
2019,14,6959.2647099999995
2019,15,17593.27715
2019,16,1806.5640499999997
2019,17,0.0
2019,26,1170.957258770988
2019,27,8052.719592360936
2019,28,5818.0325774757275
2019,29,16089.840113870929
2019,30,14401.922847981721
2019,32,1843.477655202741
2019,33,4938.274632139348
2019,34,22018.3325453242
2019,35,551.883983268477
2019,36,33.160950109090905
2019,39,9.707832255962218
2020,6,0.0
2020,7,1759.362
2020,8,44.3256
2020,9,20168.4516
2020,10,20468.63104
2020,11,10225.471227179896
2020,12,2626.0590399999996
2020,13,17623.1198
2020,14,6979.956279999999
2020,15,17645.586199999998
2020,16,1811.9354000000003
2020,17,0.0
2020,26,1174.3323992826956
2020,27,8076.662267065676
2020,28,5833.979666407768
2020,29,16137.679083486008
2020,30,14444.743233059966
2020,32,1848.9587582410052
2020,33,4952.957311917762
2020,34,22083.798350711688
2020,35,553.5248672623376
2020,36,33.259545599999996
2020,39,9.73669597922078
2021,6,0.0
2021,7,1799.86905
2021,8,45.346140000000005
2021,9,20632.804289999996
2021,10,20939.894975999996
2021,11,10452.854274702913
2021,12,2686.520676
2021,13,18299.302537425
2021,14,7497.6938473499995
2021,15,18954.44581275
2021,16,1853.6528849999995
2021,17,0.0
2021,26,1200.5459905902912
2021,27,8262.617040605825
2021,28,5957.835390446601
2021,29,16756.86684037555
2021,30,14998.974613858483
2021,32,1891.5286585048543
2021,33,5066.992791530096
2021,34,22931.133180809473
2021,35,566.2690662813222
2021,36,34.02530391272727
2021,39,9.960870896528924
2022,6,0.0
2022,7,1841.2926372000002
2022,8,46.389771360000005
2022,9,21107.66370696
2022,10,21421.822017024002
2022,11,10685.382229635978
2022,12,2748.350353824
2022,13,19001.26378276062
2022,14,8053.764189656221
2022,15,20360.212090476303
2022,16,1896.3142952399999
2022,17,0.0
2022,26,1227.3527065904777
2022,27,8452.779340180754
2022,28,6084.4935495804275
2022,29,17399.660252372356
2022,30,15574.335280046093
2022,32,1935.0617712759608
